יום,שעה,סטטוס
ראשון,11:00,תפוס
ראשון,11:30,פנוי
ראשון,12:00,פנוי
ראשון,12:30,פנוי
ראשון,13:00,פנוי
ראשון,13:30,פנוי
ראשון,14:00,פנוי
ראשון,14:30,פנוי
ראשון,15:00,פנוי
ראשון,15:30,פנוי
ראשון,16:00,פנוי
ראשון,16:30,פנוי
ראשון,17:00,פנוי
ראשון,17:30,פנוי
ראשון,18:00,פנוי
ראשון,18:30,פנוי
ראשון,19:00,תפוס
ראשון,19:30,פנוי
ראשון,20:00,פנוי
ראשון,20:30,פנוי
ראשון,21:00,פנוי
ראשון,21:30,פנוי
ראשון,22:00,פנוי
ראשון,22:30,פנוי
שני,11:00,תפוס
שני,11:30,פנוי
שני,12:00,פנוי
שני,12:30,פנוי
שני,13:00,פנוי
שני,13:30,פנוי
שני,14:00,פנוי
שני,14:30,פנוי
שני,15:00,פנוי
שני,15:30,פנוי
שני,16:00,פנוי
שני,16:30,פנוי
שני,17:00,פנוי
שני,17:30,פנוי
שני,18:00,פנוי
שני,18:30,פנוי
שני,19:00,פנוי
שני,19:30,פנוי
שני,20:00,פנוי
שני,20:30,פנוי
שני,21:00,תפוס
שני,21:30,פנוי
שני,22:00,פנוי
שני,22:30,פנוי
שלישי,11:00,תפוס
שלישי,11:30,פנוי
שלישי,12:00,פנוי
שלישי,12:30,פנוי
שלישי,13:00,פנוי
שלישי,13:30,פנוי
שלישי,14:00,פנוי
שלישי,14:30,פנוי
שלישי,15:00,פנוי
שלישי,15:30,תפוס
שלישי,16:00,תפוס
שלישי,16:30,פנוי
שלישי,17:00,פנוי
שלישי,17:30,פנוי
שלישי,18:00,תפוס
שלישי,18:30,תפוס
שלישי,19:00,תפוס
שלישי,19:30,פנוי
שלישי,20:00,פנוי
שלישי,20:30,פנוי
שלישי,21:00,פנוי
שלישי,21:30,פנוי
שלישי,22:00,פנוי
שלישי,22:30,פנוי
רביעי,11:00,תפוס
רביעי,11:30,פנוי
רביעי,12:00,פנוי
רביעי,12:30,פנוי
רביעי,13:00,פנוי
רביעי,13:30,תפוס
רביעי,14:00,פנוי
רביעי,14:30,פנוי
רביעי,15:00,פנוי
רביעי,15:30,תפוס
רביעי,16:00,פנוי
רביעי,16:30,פנוי
רביעי,17:00,תפוס
רביעי,17:30,פנוי
רביעי,18:00,תפוס
רביעי,18:30,פנוי
רביעי,19:00,פנוי
רביעי,19:30,פנוי
רביעי,20:00,פנוי
רביעי,20:30,פנוי
רביעי,21:00,פנוי
רביעי,21:30,פנוי
רביעי,22:00,פנוי
רביעי,22:30,פנוי
חמישי,11:00,תפוס
חמישי,11:30,פנוי
חמישי,12:00,פנוי
חמישי,12:30,פנוי
חמישי,13:00,פנוי
חמישי,13:30,פנוי
חמישי,14:00,פנוי
חמישי,14:30,תפוס
חמישי,15:00,פנוי
חמישי,15:30,פנוי
חמישי,16:00,פנוי
חמישי,16:30,פנוי
חמישי,17:00,פנוי
חמישי,17:30,פנוי
חמישי,18:00,פנוי
חמישי,18:30,פנוי
חמישי,19:00,פנוי
חמישי,19:30,פנוי
חמישי,20:00,פנוי
חמישי,20:30,פנוי
חמישי,21:00,פנוי
חמישי,21:30,פנוי
חמישי,22:00,פנוי
חמישי,22:30,פנוי
שישי,11:00,תפוס
שישי,11:30,פנוי
שישי,12:00,פנוי
שישי,12:30,פנוי
שישי,13:00,פנוי
שישי,13:30,פנוי
שישי,14:00,פנוי
שישי,14:30,פנוי
שישי,15:00,פנוי
שישי,15:30,פנוי
שישי,16:00,פנוי
שישי,16:30,פנוי
שישי,17:00,פנוי
שישי,17:30,פנוי
שישי,18:00,פנוי
שישי,18:30,פנוי
שישי,19:00,פנוי
שישי,19:30,פנוי
שישי,20:00,פנוי
שישי,20:30,פנוי
שישי,21:00,פנוי
שישי,21:30,פנוי
שישי,22:00,פנוי
שישי,22:30,פנוי
